"","Year","County","NumDays"
"1",1981,"F13001",37
"2",1981,"F13003",35
"3",1981,"F13005",38
"4",1981,"F13007",33
"5",1981,"F13009",28
"6",1981,"F13011",30
"7",1981,"F13013",27
"8",1981,"F13015",25
"9",1981,"F13017",36
"10",1981,"F13019",36
"11",1981,"F13021",35
"12",1981,"F13023",36
"13",1981,"F13025",38
"14",1981,"F13027",37
"15",1981,"F13029",37
"16",1981,"F13031",36
"17",1981,"F13033",32
"18",1981,"F13035",32
"19",1981,"F13037",31
"20",1981,"F13039",45
"21",1981,"F13043",36
"22",1981,"F13045",32
"23",1981,"F13047",26
"24",1981,"F13049",39
"25",1981,"F13051",37
"26",1981,"F13053",35
"27",1981,"F13055",25
"28",1981,"F13057",26
"29",1981,"F13059",29
"30",1981,"F13061",29
"31",1981,"F13063",29
"32",1981,"F13065",37
"33",1981,"F13067",26
"34",1981,"F13069",36
"35",1981,"F13071",36
"36",1981,"F13073",29
"37",1981,"F13075",35
"38",1981,"F13077",35
"39",1981,"F13079",35
"40",1981,"F13081",37
"41",1981,"F13083",26
"42",1981,"F13085",25
"43",1981,"F13087",31
"44",1981,"F13089",28
"45",1981,"F13091",40
"46",1981,"F13093",36
"47",1981,"F13095",37
"48",1981,"F13097",30
"49",1981,"F13099",30
"50",1981,"F13101",38
"51",1981,"F13103",36
"52",1981,"F13105",27
"53",1981,"F13107",35
"54",1981,"F13109",36
"55",1981,"F13111",27
"56",1981,"F13113",31
"57",1981,"F13115",28
"58",1981,"F13117",26
"59",1981,"F13119",29
"60",1981,"F13121",29
"61",1981,"F13123",26
"62",1981,"F13125",30
"63",1981,"F13127",44
"64",1981,"F13129",25
"65",1981,"F13131",32
"66",1981,"F13133",28
"67",1981,"F13135",28
"68",1981,"F13137",27
"69",1981,"F13139",26
"70",1981,"F13141",30
"71",1981,"F13143",30
"72",1981,"F13145",37
"73",1981,"F13147",29
"74",1981,"F13149",36
"75",1981,"F13151",28
"76",1981,"F13153",36
"77",1981,"F13155",36
"78",1981,"F13157",29
"79",1981,"F13159",35
"80",1981,"F13161",39
"81",1981,"F13163",32
"82",1981,"F13165",33
"83",1981,"F13167",35
"84",1981,"F13169",33
"85",1981,"F13171",33
"86",1981,"F13173",37
"87",1981,"F13175",38
"88",1981,"F13177",36
"89",1981,"F13179",38
"90",1981,"F13181",28
"91",1981,"F13183",38
"92",1981,"F13185",38
"93",1981,"F13187",26
"94",1981,"F13189",30
"95",1981,"F13191",37
"96",1981,"F13193",35
"97",1981,"F13195",29
"98",1981,"F13197",34
"99",1981,"F13199",35
"100",1981,"F13201",33
"101",1981,"F13205",34
"102",1981,"F13207",35
"103",1981,"F13209",38
"104",1981,"F13211",29
"105",1981,"F13213",26
"106",1981,"F13215",37
"107",1981,"F13217",28
"108",1981,"F13219",28
"109",1981,"F13221",30
"110",1981,"F13223",25
"111",1981,"F13225",35
"112",1981,"F13227",27
"113",1981,"F13229",38
"114",1981,"F13231",32
"115",1981,"F13233",29
"116",1981,"F13235",38
"117",1981,"F13237",31
"118",1981,"F13239",31
"119",1981,"F13241",26
"120",1981,"F13243",33
"121",1981,"F13245",32
"122",1981,"F13247",29
"123",1981,"F13249",35
"124",1981,"F13251",33
"125",1981,"F13253",31
"126",1981,"F13255",29
"127",1981,"F13257",27
"128",1981,"F13259",32
"129",1981,"F13261",35
"130",1981,"F13263",36
"131",1981,"F13265",29
"132",1981,"F13267",39
"133",1981,"F13269",35
"134",1981,"F13271",38
"135",1981,"F13273",34
"136",1981,"F13275",34
"137",1981,"F13277",35
"138",1981,"F13279",37
"139",1981,"F13281",25
"140",1981,"F13283",36
"141",1981,"F13285",35
"142",1981,"F13287",37
"143",1981,"F13289",35
"144",1981,"F13291",25
"145",1981,"F13293",35
"146",1981,"F13295",26
"147",1981,"F13297",27
"148",1981,"F13299",37
"149",1981,"F13301",30
"150",1981,"F13303",31
"151",1981,"F13305",36
"152",1981,"F13307",34
"153",1981,"F13309",38
