"","Year","County","NumDays"
"215",1981,"F37111",10
"216",1981,"F37113",7
"217",1981,"F37115",10
"218",1981,"F37117",7
"219",1981,"F37119",11
"220",1981,"F37121",9
"221",1981,"F37123",9
"222",1981,"F37125",9
"223",1981,"F37127",7
"224",1981,"F37129",9
"225",1981,"F37131",8
"226",1981,"F37133",12
"227",1981,"F37135",10
"228",1981,"F37137",12
"229",1981,"F37139",9
"230",1981,"F37141",10
"231",1981,"F37143",8
"232",1981,"F37145",7
"233",1981,"F37147",9
"234",1981,"F37149",7
"235",1981,"F37151",12
"236",1981,"F37153",6
"237",1981,"F37155",13
"238",1981,"F37157",8
"239",1981,"F37159",15
"240",1981,"F37161",9
"241",1981,"F37163",11
"242",1981,"F37165",11
"243",1981,"F37167",7
"244",1981,"F37169",9
"245",1981,"F37171",9
"246",1981,"F37173",9
"247",1981,"F37175",8
"248",1981,"F37177",9
"249",1981,"F37179",6
"250",1981,"F37181",5
"251",1981,"F37183",10
"252",1981,"F37185",5
"253",1981,"F37187",9
"254",1981,"F37189",9
"255",1981,"F37191",8
"256",1981,"F37193",10
"257",1981,"F37195",7
"258",1981,"F37197",9
"259",1981,"F37199",9
"260",1981,"F45001",6
"261",1981,"F45003",9
"262",1981,"F45005",7
"263",1981,"F45007",6
"264",1981,"F45009",5
"265",1981,"F45011",7
"266",1981,"F45013",7
"267",1981,"F45015",9
"268",1981,"F45017",8
"269",1981,"F45019",9
"270",1981,"F45021",7
"271",1981,"F45023",8
"272",1981,"F45025",9
"273",1981,"F45027",10
"274",1981,"F45029",8
"275",1981,"F45031",8
"276",1981,"F45033",12
"277",1981,"F45035",8
"278",1981,"F45037",8
"279",1981,"F45039",10
"280",1981,"F45041",14
"281",1981,"F45043",10
"282",1981,"F45045",7
"283",1981,"F45047",6
"284",1981,"F45049",6
"285",1981,"F45051",15
"286",1981,"F45053",7
"287",1981,"F45055",7
"288",1981,"F45057",9
"289",1981,"F45059",6
"290",1981,"F45061",7
"291",1981,"F45063",6
"292",1981,"F45065",8
"293",1981,"F45067",10
"294",1981,"F45069",13
"295",1981,"F45071",5
"296",1981,"F45073",6
"297",1981,"F45075",11
"298",1981,"F45077",5
"299",1981,"F45079",9
"300",1981,"F45081",7
"301",1981,"F45083",6
"302",1981,"F45085",7
"303",1981,"F45087",7
"304",1981,"F45089",9
"305",1981,"F45091",10
"306",1982,"F13001",12
"307",1982,"F13003",9
"308",1982,"F13005",9
"309",1982,"F13007",8
"310",1982,"F13009",9
"311",1982,"F13011",6
"312",1982,"F13013",9
"313",1982,"F13015",9
"314",1982,"F13017",6
"315",1982,"F13019",7
"316",1982,"F13021",7
"317",1982,"F13023",6
"318",1982,"F13025",8
"319",1982,"F13027",8
"320",1982,"F13029",9
"321",1982,"F13031",8
"322",1982,"F13033",9
"323",1982,"F13035",8
"324",1982,"F13037",9
"325",1982,"F13039",9
"326",1982,"F13043",5
"327",1982,"F13045",7
"328",1982,"F13047",4
"329",1982,"F13049",9
"330",1982,"F13051",10
"331",1982,"F13053",6
